Accident_ID,Date,Time_of_Day,Weather_Condition,Road_Condition,City,Severity,Vehicles_Involved,Injuries
A0391,2025-05-20,Afternoon,Clear,Wet,Hassan,1,4,7
A0392,2025-09-19,Morning,Clear,Icy,Mysuru,3,2,4
A0393,2025-02-22,Evening,Rain,Dry,Hassan,1,1,0
A0394,2025-05-06,Night,Rain,Wet,Mysuru,2,1,8
A0395,2025-12-02,Afternoon,Clear,Dry,Tumakuru,3,1,5
A0396,2025-03-03,Afternoon,Rain,Dry,Mysuru,1,4,1
A0397,2025-08-27,Morning,Fog,Wet,Bengaluru,4,1,5
A0398,2025-04-13,Morning,Rain,Wet,Hassan,2,4,5
A0399,2025-10-30,Afternoon,Snow,Icy,Hassan,2,2,0
A0400,2025-07-29,Night,Clear,Dry,Bengaluru,3,1,6
A0401,2025-06-07,Night,Clear,Under Construction,Mandya,4,1,2
A0402,2025-12-31,Morning,Clear,Under Construction,Hassan,4,3,7
A0403,2025-02-13,Evening,Clear,Dry,Mandya,1,5,0
A0404,2025-08-11,Night,Snow,Wet,Tumakuru,3,4,5
A0405,2025-06-12,Afternoon,Clear,Dry,Mysuru,2,5,1
A0406,2025-03-21,Night,Clear,Dry,Mandya,1,5,5
A0407,2025-04-17,Afternoon,Clear,Dry,Bengaluru,1,2,4
A0408,2025-12-27,Night,Rain,Wet,Tumakuru,2,1,3
A0409,2025-07-02,Afternoon,Rain,Wet,Tumakuru,2,1,6
A0410,2025-08-20,Evening,Fog,Wet,Mandya,1,2,1
A0411,2025-01-07,Night,Cloudy,Under Construction,Mysuru,2,4,5
A0412,2025-12-18,Evening,Cloudy,Dry,Hassan,3,1,0
A0413,2025-02-03,Morning,Cloudy,Dry,Mysuru,1,3,1
A0414,2025-01-22,Afternoon,Clear,Under Construction,Mandya,4,4,0
A0415,2025-07-15,Night,Clear,Dry,Mysuru,3,3,7
A0416,2025-03-18,Night,Rain,Wet,Tumakuru,4,4,8
A0417,2025-09-03,Night,Clear,Dry,Mandya,2,5,3
A0418,2025-11-19,Evening,Cloudy,Under Construction,Tumakuru,4,5,7
A0419,2025-06-26,Evening,Rain,Wet,Mysuru,1,3,3
A0420,2025-01-16,Morning,Clear,Under Construction,Hassan,3,5,3
A0421,2025-03-23,Night,Clear,Dry,Hassan,1,2,6
A0422,2025-07-01,Morning,Clear,Dry,Tumakuru,1,3,2
A0423,2025-10-16,Morning,Cloudy,Wet,Mandya,3,2,7
A0424,2025-01-20,Night,Clear,Dry,Bengaluru,4,1,5
A0425,2025-11-11,Morning,Cloudy,Dry,Mysuru,3,1,0
A0426,2025-03-17,Evening,Fog,Dry,Bengaluru,3,1,5
A0427,2025-12-27,Night,Clear,Dry,Tumakuru,3,2,2
A0428,2025-08-12,Evening,Snow,Wet,Mysuru,3,2,2
A0429,2025-07-13,Morning,Fog,Wet,Mysuru,1,5,6
A0430,2025-10-18,Night,Clear,Dry,Hassan,2,5,1
A0431,2025-09-12,Night,Clear,Dry,Tumakuru,3,2,1
A0432,2025-12-29,Night,Rain,Icy,Mandya,1,3,3
A0433,2025-05-08,Night,Clear,Dry,Bengaluru,1,1,6
A0434,2025-08-13,Night,Clear,Dry,Mandya,4,4,5
A0435,2025-10-07,Afternoon,Clear,Dry,Hassan,2,2,7
A0436,2025-02-07,Night,Clear,Dry,Bengaluru,1,3,2
A0437,2025-07-12,Morning,Fog,Wet,Bengaluru,3,5,7
A0438,2025-12-27,Night,Clear,Dry,Hassan,4,2,0
A0439,2025-02-21,Morning,Clear,Dry,Hassan,3,3,4
A0440,2025-05-02,Night,Clear,Dry,Mandya,2,1,5
A0441,2025-01-02,Afternoon,Clear,Wet,Hassan,4,2,1
A0442,2025-01-14,Morning,Clear,Dry,Bengaluru,4,1,4
A0443,2025-07-23,Afternoon,Rain,Wet,Bengaluru,4,2,5
A0444,2025-07-15,Morning,Clear,Dry,Mandya,4,3,3
A0445,2025-05-18,Evening,Clear,Wet,Bengaluru,1,3,8
A0446,2025-07-31,Evening,Clear,Dry,Mandya,4,5,7
A0447,2025-10-21,Morning,Rain,Dry,Bengaluru,2,1,7
A0448,2025-03-30,Morning,Snow,Icy,Mysuru,1,4,1
A0449,2025-12-16,Afternoon,Clear,Wet,Mysuru,3,3,1
A0450,2025-02-14,Afternoon,Rain,Wet,Tumakuru,4,1,8
A0451,2025-08-03,Night,Clear,Dry,Hassan,1,1,1
A0452,2025-05-27,Evening,Cloudy,Icy,Tumakuru,4,4,7
A0453,2025-01-20,Morning,Clear,Dry,Hassan,4,1,6
A0454,2025-06-19,Night,Clear,Wet,Tumakuru,3,1,5
A0455,2025-06-05,Morning,Clear,Dry,Bengaluru,2,2,4
A0456,2025-08-15,Morning,Clear,Dry,Bengaluru,2,4,3
A0457,2025-07-28,Night,Rain,Wet,Tumakuru,1,5,2
A0458,2025-02-03,Morning,Fog,Wet,Hassan,1,2,3
A0459,2025-04-13,Night,Clear,Dry,Tumakuru,2,3,5
A0460,2025-08-26,Afternoon,Clear,Under Construction,Bengaluru,2,3,7
A0461,2025-11-01,Afternoon,Clear,Icy,Hassan,3,3,2
A0462,2025-05-13,Night,Cloudy,Dry,Bengaluru,4,1,2
A0463,2025-10-20,Morning,Cloudy,Dry,Mysuru,3,4,8
A0464,2025-01-11,Night,Clear,Under Construction,Mysuru,1,2,4
A0465,2025-11-08,Morning,Fog,Wet,Tumakuru,4,4,5
A0466,2025-08-24,Morning,Clear,Dry,Hassan,4,5,1
A0467,2025-01-04,Afternoon,Snow,Under Construction,Tumakuru,3,3,1
A0468,2025-09-04,Night,Clear,Dry,Tumakuru,3,3,4
A0469,2025-04-07,Night,Rain,Wet,Bengaluru,4,3,2
A0470,2025-01-14,Evening,Rain,Wet,Mandya,4,4,0
A0471,2025-10-26,Night,Snow,Icy,Tumakuru,2,5,7
A0472,2025-12-10,Morning,Rain,Icy,Hassan,2,3,1
A0473,2025-08-30,Night,Fog,Wet,Hassan,2,3,1
A0474,2025-04-24,Morning,Clear,Icy,Mandya,3,3,4
A0475,2025-10-27,Morning,Rain,Dry,Bengaluru,1,4,3
A0476,2025-09-14,Night,Cloudy,Dry,Tumakuru,4,1,2
A0477,2025-03-12,Morning,Clear,Under Construction,Mandya,2,3,2
A0478,2025-02-11,Afternoon,Clear,Under Construction,Tumakuru,1,1,7
A0479,2025-05-21,Morning,Fog,Dry,Mysuru,4,1,2
A0480,2025-11-11,Afternoon,Rain,Wet,Mandya,4,1,0
A0481,2025-10-01,Morning,Fog,Under Construction,Tumakuru,2,1,0
A0482,2025-11-17,Night,Clear,Dry,Tumakuru,3,2,1
A0483,2025-07-16,Afternoon,Rain,Dry,Bengaluru,3,3,7
A0484,2025-09-24,Evening,Rain,Wet,Mysuru,3,4,5
A0485,2025-04-07,Morning,Cloudy,Under Construction,Mandya,1,2,3
A0486,2025-03-09,Morning,Fog,Wet,Mysuru,1,3,0
A0487,2025-07-12,Evening,Clear,Dry,Bengaluru,1,1,0
A0488,2025-01-25,Night,Clear,Dry,Bengaluru,3,4,2
A0489,2025-04-16,Night,Rain,Dry,Mandya,1,5,4
A0490,2025-11-15,Evening,Fog,Wet,Bengaluru,1,3,1
A0491,2025-02-24,Afternoon,Clear,Dry,Tumakuru,2,3,6
A0492,2025-06-01,Morning,Clear,Dry,Mysuru,4,3,3
A0493,2025-01-02,Night,Rain,Under Construction,Hassan,4,2,1
A0494,2025-09-19,Night,Fog,Dry,Tumakuru,2,4,4
A0495,2025-05-16,Afternoon,Clear,Wet,Bengaluru,3,3,5
A0496,2025-08-07,Night,Clear,Icy,Bengaluru,1,2,2
A0497,2025-06-18,Morning,Cloudy,Under Construction,Tumakuru,1,3,5
A0498,2025-04-04,Night,Clear,Under Construction,Tumakuru,4,4,6
A0499,2025-11-29,Morning,Clear,Dry,Bengaluru,2,1,6
A0500,2025-10-30,Afternoon,Cloudy,Dry,Mysuru,4,3,0
